Time,Ch. 1,Ch. 2,Ch. 3,Ch. 4,Ch. 5,Ch. 6,Ch. 7,Ch. 8
2021-03-05 12:58:08.953661,nan,22.03,22.44,nan,nan,nan,nan,nan
2021-03-05 12:58:13.652661,nan,21.63,23.24,nan,nan,nan,nan,nan
2021-03-05 12:58:18.353659,nan,22.44,23.24,nan,nan,nan,nan,nan
2021-03-05 12:58:23.051658,nan,22.44,22.44,nan,nan,nan,nan,nan
2021-03-05 12:58:27.750662,nan,21.63,22.44,nan,nan,nan,nan,nan
2021-03-05 12:58:32.450663,nan,21.63,22.84,nan,nan,nan,nan,nan
2021-03-05 12:58:37.149661,nan,21.63,23.64,nan,nan,nan,nan,nan
2021-03-05 12:58:41.847663,nan,22.03,22.44,nan,nan,nan,nan,nan
2021-03-05 12:58:46.548662,nan,22.44,22.44,nan,nan,nan,nan,nan
2021-03-05 12:58:51.247661,nan,22.44,23.24,nan,nan,nan,nan,nan
2021-03-05 12:58:55.945661,nan,22.03,23.24,nan,nan,nan,nan,nan
2021-03-05 12:59:00.647665,nan,22.44,22.03,nan,nan,nan,nan,nan
2021-03-05 12:59:05.344662,nan,22.44,23.64,nan,nan,nan,nan,nan
2021-03-05 12:59:10.042663,nan,22.44,23.24,nan,nan,nan,nan,nan
2021-03-05 12:59:14.744662,nan,22.03,23.64,nan,nan,nan,nan,nan
2021-03-05 12:59:19.442662,nan,22.03,22.44,nan,nan,nan,nan,nan
2021-03-05 12:59:24.140662,nan,22.44,22.84,nan,nan,nan,nan,nan
2021-03-05 12:59:28.842662,nan,22.44,23.64,nan,nan,nan,nan,nan
2021-03-05 12:59:33.540662,nan,21.63,22.84,nan,nan,nan,nan,nan
2021-03-05 12:59:38.242664,nan,22.84,23.24,nan,nan,nan,nan,nan
2021-03-05 12:59:42.939663,nan,22.84,23.24,nan,nan,nan,nan,nan
2021-03-05 12:59:47.637661,nan,23.24,23.24,nan,nan,nan,nan,nan
2021-03-05 12:59:52.338663,nan,22.44,23.24,nan,nan,nan,nan,nan
2021-03-05 12:59:57.037661,nan,22.84,23.24,nan,nan,nan,nan,nan
2021-03-05 13:00:01.735661,nan,22.84,23.24,nan,nan,nan,nan,nan
2021-03-05 13:00:06.436659,nan,22.84,22.84,nan,nan,nan,nan,nan
2021-03-05 13:00:11.135661,nan,21.63,23.64,nan,nan,nan,nan,nan
2021-03-05 13:00:15.832662,nan,22.44,24.05,nan,nan,nan,nan,nan
